playerID,yearID,playerStint,teamID,league,numberOfGames,numberOfGamesAsBatter,AtBatting,runs,hits,doules,tripples,homeRuns,runsBattedIn,stolenBases,caughtStealing,baseOnBalls,strikeouts,intentionalWalks,hitsByPitch,sacrificeHits,sacrificeFlies,groundedIntoDoublePlays,G_old,playerName
braybu01,1941,1,BSN,NL,4,4,11,2,1,1,0,0,1,0,,1,2,,0,0,,0,4,Clarence Wilbur
brazoyh01,2004,1,LAN,NL,31,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,Yhency Jose
brazoyh01,2005,1,LAN,NL,74,73,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74,Yhency Jose
brazoyh01,2006,1,LAN,NL,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Yhency Jose
brazoyh01,2007,1,LAN,NL,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Yhency Jose
brazoyh01,2008,1,LAN,NL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yhency Jose
breamsi01,1983,1,LAN,NL,15,15,11,0,2,0,0,0,2,0,0,2,2,0,0,0,0,1,15,Sidney Eugene
breamsi01,1984,1,LAN,NL,27,27,49,2,9,3,0,0,6,1,0,6,9,2,0,1,2,1,27,Sidney Eugene
breamsi01,1985,1,LAN,NL,24,24,53,4,7,0,0,3,6,0,0,7,10,3,0,2,1,0,24,Sidney Eugene
breamsi01,1991,1,ATL,NL,91,91,265,32,67,12,0,11,45,0,3,25,31,5,0,4,4,8,91,Sidney Eugene
breamsi01,1992,1,ATL,NL,125,125,372,30,97,25,1,10,61,6,0,46,51,2,1,3,4,3,125,Sidney Eugene
breamsi01,1993,1,ATL,NL,117,117,277,33,72,14,1,9,35,4,2,31,43,3,0,1,2,6,117,Sidney Eugene
breazji01,1969,1,ATL,NL,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,James Leo
breazji01,1971,1,ATL,NL,10,10,21,1,4,0,0,1,3,0,0,0,3,0,0,0,1,0,10,James Leo
breazji01,1972,1,ATL,NL,52,52,85,10,21,2,0,5,17,0,1,6,12,1,0,0,0,2,52,James Leo
breedma01,1963,1,WS2,AL,58,58,197,20,54,7,2,1,14,1,1,7,21,0,0,1,0,1,58,Marvin Eugene
breedma01,1963,2,LAN,NL,20,20,36,6,6,0,0,0,1,1,0,2,5,0,0,2,0,0,20,Marvin Eugene
breital01,1883,1,PHI,NL,1,1,2,0,0,0,0,0,0,,,0,1,,,,,,1,Alonzo
breitte01,1891,1,SL4,AA,6,6,12,2,0,0,0,0,0,1,,2,0,,0,,,,6,Theodore P.
brennad01,1910,1,PHI,NL,21,21,25,1,7,0,0,0,1,1,,3,5,,0,0,,,21,Addison Foster
brennad01,1911,1,PHI,NL,5,5,9,0,2,0,0,0,0,0,,0,3,,0,1,,,5,Addison Foster
brennad01,1912,1,PHI,NL,27,27,59,8,15,1,2,1,6,0,,4,9,,1,2,,,27,Addison Foster
brennad01,1913,1,PHI,NL,40,40,67,3,11,2,0,0,2,0,,1,12,,0,3,,,40,Addison Foster
brennji01,1890,1,CLP,PL,59,59,233,32,59,3,7,0,26,8,,13,29,,4,,,,59,Jack
brennto01,1985,1,LAN,NL,12,12,8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,12,Thomas Martin
brennwi01,1988,1,LAN,NL,4,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,William Raymond
bresnro01,1897,1,WAS,NL,6,6,16,1,6,0,0,0,3,0,,1,,,0,0,,,6,Roger Philip
bresnro01,1901,1,BLA,AL,86,86,295,40,79,9,9,1,32,10,,23,,,1,4,,,86,Roger Philip
